rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0001924245,0.0087884,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0001936863,0.0091694,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002239695,0.0101092,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002252313,0.010414,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002561454,0.010922,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002567763,0.0117094,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002574072,0.0115062,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002826432,0.0123952,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0002870595,0.0124206,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003173427,0.012954,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003173427,0.0129032,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003192354,0.0132588,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003463641,0.0137922,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003488877,0.0141478,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003816945,0.0146558,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003816945,0.0147066,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0003816945,0.0145288,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0004075614,0.0153162,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0004088232,0.01524,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.0004378446,0.0156464,1,0,0
918,0.00499,998,0.00092718,0.03,0.010795,0.00618274208536872,0.00044163,0.0158496,1,0,0
